List,Sentence,Offset
35,982,2.36715250566204
35,387,2.06381327583837
36,77,-2.03364572769063
36,1155,-2.26616414195436
36,1031,-1.58306916247914
36,969,-1.89344909398582
36,1053,-1.50497014001694
36,378,-1.5205908824327
36,1122,-1.1826392205181
36,590,-1.45892508439024
36,326,-0.348263449646551
36,224,-0.543291772159072
36,874,1.0324974093926
36,496,0.202056435587909
36,848,1.2435382460002
36,50,1.09854648156233
36,31,1.46333231495469
36,209,1.39876367905448
36,1173,1.56372215948091
36,552,1.54258375436993
36,917,2.6215611477697
36,185,1.80653933799407
37,194,-1.27566670889428
37,1028,-1.28932187904382
37,1021,-1.07179371168995
37,7,-1.08700371613273
37,1172,-0.556314087589111
37,906,-0.995716631531382
37,279,-0.480599810238932
37,580,-0.529339525884231
37,719,0.200196349291319
37,1003,0.026949423830648
37,885,0.214297077938689
37,660,0.207325834492728
37,923,0.387539755014748
37,1085,0.222567619081238
37,1022,0.612075292428978
37,51,0.602265146552408
37,867,1.22013321650911
37,968,1.11479775447399
37,584,1.67952101039457
37,6,1.27634730851485
38,791,-1.8113996107383
38,430,-2.41326281251588
38,1012,-1.29957188217226
38,979,-1.69591578829338
38,916,-0.941442095859572
38,947,-0.985446549415312
38,175,-0.445822298473551
38,98,-0.570386262912712
38,723,-0.105668530220282
38,294,-0.247689313020452
38,1023,0.460918926630608
38,78,0.318681379115938
38,1134,0.775278053882558
38,145,0.560799589250818
38,636,1.09687521125919
38,217,1.00343649022999
